link,                                                          Insult, Sexually explicit, Threat, Blasphemy
https://www.threads.net/@stefania.pellutri/post/C5yc8XxtlFw,   .7, 0,   0, 0 
https://www.threads.net/@_.mimmy.__/post/C1qL1qVoN42/,         .1, 0, .99, .2
